Especial;OP;Direccion;Comuna;Condominio;Tipo edificio;Max inicio cttos (Días);Tipologia;Estac;Bod;Arriendo Total;GC Total;Reajuste por contrato;Meses sin reajuste;% Descuento;Cant. Meses Descuento;Cant. Garantías (Meses);Cant. Garantías Mascota (Meses);Sin Garantia;Cuotas Garantía;Rentas Necesarias;Requiere Aval(es);Tremenda promo;Orientacion;m2 Depto;m2 Terraza;Estatus LLave;Candado;Status Video;Comentario;Fecha Reparacion;Presupuesto;Acepta Mascotas?;Link Listing;Unidad;Estado
Arriendo Normal;VECD812;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113369;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507836&codigo_referido=elkisd;812;Lista para arrendar
Arriendo Normal;VECD813;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113370;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507837&codigo_referido=elkisd;813;Lista para arrendar
Arriendo Normal;VECD816;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;350000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113373;N;31.00;1.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507840&codigo_referido=elkisd;816;Lista para arrendar
Arriendo Normal;VECD817;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;350000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113374;N;31.00;1.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507841&codigo_referido=elkisd;817;Lista para arrendar
Arriendo Normal;VECD907;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113388;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507855&codigo_referido=elkisd;907;Lista para arrendar
Arriendo Normal;VECD908;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;355000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113389;S;30.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507856&codigo_referido=elkisd;908;Lista para arrendar
Arriendo Normal;VECD909;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113390;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507857&codigo_referido=elkisd;909;Lista para arrendar
Arriendo Normal;VECD910;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113391;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507858&codigo_referido=elkisd;910;Lista para arrendar
Arriendo Normal;VECD911;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113392;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507859&codigo_referido=elkisd;911;Lista para arrendar
Arriendo Normal;VECD912;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113393;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507860&codigo_referido=elkisd;912;Lista para arrendar
Arriendo Normal;VECD913;Av. Vicuña Mackenna 7630;La Florida;Vespucio Capital;1;30;1D1B;;;360000.00;80000.00;3;12;0.00;0;1;0;Si;3;3.00;1;113394;S;31.00;3.00;;0;OK;;;;Si;https://www.assetplan.cl/arriendo/departamento/la-florida/1-dormitorio/vespucio-capital/3281?selectedUnit=507861&codigo_referido=elkisd;913;Lista para arrendar
