
> hommie-0-commission@1.0.0 lint /Users/macbookpro/Documents/hommie-0-commission-next
> eslint app components hooks lib types --format=compact

/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 42, col 3, Warning - 'calculateRentaMinimaSumable' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 43, col 30, Warning - 'validatePetRestrictionsDerive' is defined but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 57, col 28, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 58, col 24, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 59, col 27, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 60, col 29, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 61, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 129, col 35, Warning - 'buildingId' is defined but never used. Allowed unused args must match /^_/u. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/mapping-v2.ts: line 143, col 11, Warning - 'gcTotal' is assigned a value but never used. (@typescript-eslint/no-unused-vars)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/react-query.ts: line 10, col 44, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/react-query.ts: line 84, col 32, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/react-query.ts: line 88, col 37, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/search.ts: line 221, col 49, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
/Users/macbookpro/Documents/hommie-0-commission-next/lib/seo/jsonld.ts: line 9, col 18, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
